z (m),u (m/s),V (1/s),T (K),rho (kg/m3),H,H2,CH3,O,CH4,OH,H2O,CO,N2,HCO,CH2O,C2H6,CH2OH,CH3O,O2,CH3OH,HO2,H2O2,CO2,AR,HE
0.0125,1.4433588231015362,0.0,600.0000004648042,0.5939370091515319,1.1426475952534464e-19,1.0573211391898929e-06,-1.744058584551971e-13,7.828187258644293e-19,-7.24622723670126e-15,-5.1621174792619315e-20,6.342878232682583e-10,1.583384424189665e-11,0.6638675949175596,2.461833059533246e-20,2.999145522707434e-12,-2.479723004156195e-13,2.0449821536172895e-17,7.880745757131345e-18,0.20156786318446754,0.1345634839140909,8.325441416458208e-12,1.6366063070998937e-12,9.06949040052069e-14,4.5719309210508217e-17,1.010221398836681e-17
0.012625,1.443371138062427,0.0,600.0000014838738,0.5939319416327646,-1.9667784486350975e-19,1.6891375176239373e-06,-1.7130255338759854e-13,-1.281949052317947e-18,6.453753658560494e-13,-7.502354626146553e-19,1.7519385733074762e-09,5.0299621942705876e-11,0.6638671525186426,-4.120960548462242e-20,3.4043749690823955e-12,-2.4852685972074934e-13,2.073620567522666e-17,-3.1929060794159467e-17,0.20156770353339976,0.13456345298936234,1.069919721758343e-11,4.174206284829457e-12,3.359951854283758e-13,-3.450113115767776e-17,-1.9799940791878238e-18
0.012750000000000001,1.4433924587976732,0.0,600.0000052495193,0.593923168506271,8.744864205058187e-20,2.7826712352176506e-06,-1.6657163213889556e-13,6.607688470350496e-19,2.9160530829179857e-12,-7.189891669943089e-20,5.368939173464944e-09,1.7855140917491765e-10,0.6638663853499354,2.264496067301057e-20,5.033203256876278e-12,-2.4886241060574876e-13,2.43494427166973e-17,4.591029076072405e-20,0.20156742683615497,0.1345633995533075,1.929988445608091e-11,1.3614920554668501e-11,1.42826037455307e-12,-1.1126371484123615e-17,9.097812467693926e-18
0.012875000000000001,1.4434293832596738,0.0,600.0000191626891,0.593907975319703,-3.284982559044521e-19,4.675360468923981e-06,-1.562472902508792e-13,-2.172135964597084e-18,1.0803764910083729e-11,-1.0276143558758877e-18,1.707453995139475e-08,6.557942267952247e-10,0.6638650527139494,-6.985894603803162e-20,1.1952846386806946e-11,-2.485855258038921e-13,3.480200729199312e-17,-4.907945828078589e-17,0.2015669466938006,0.1345633073730279,5.099647866140309e-11,4.877895034498638e-11,6.290076126543052e-12,-1.0279212782052023e-16,1.0995476476277495e-17
0.013000000000000001,1.443493374641843,0.0,600.0000705639354,0.5938816468372148,4.303070555890127e-19,7.951305073594934e-06,-1.2598305504911034e-13,2.8466627407520905e-18,3.819223569014447e-11,7.402196613028507e-19,5.49574763018564e-08,2.431699001803936e-09,0.6638627303791029,9.045536728918457e-20,4.178806045853583e-11,-2.4490856260690516e-13,7.776579009117302e-17,4.747819453507266e-17,0.20156611157692525,0.13456314889399687,1.6838466569291603e-10,1.7980066482130498e-10,2.7932308286902844e-11,1.0512749580118232e-16,7.012738095900628e-17
0.013125000000000001,1.4436044302347113,0.0,600.0002604373357,0.5938359598927275,5.17457749893305e-19,1.3621673674746554e-05,-2.6331710259933513e-14,3.77207205493128e-18,1.3328173766157344e-10,1.2676428584118477e-18,1.775606794875839e-07,9.040253553748044e-09,0.6638586591431223,1.2680808972293087e-19,1.7088360741265834e-10,-2.262375886714313e-13,2.319172180283011e-16,6.668107391466849e-17,0.20156465258321993,0.134562878299158,6.036749495794208e-10,6.680397833760842e-10,1.2426974781995505e-10,1.7492588920579694e-16,1.0466154017042651e-16
0.013187500000000001,1.443690797011809,0.0,600.0005471542963,0.593800434490466,-1.3708100640219464e-18,1.8011229172450437e-05,1.1455439577896907e-13,-9.973149303275178e-18,2.6896802474634956e-10,-3.2629206622559014e-18,3.4168456074566216e-07,1.9088443096726687e-08,0.663855444454438,-3.4545024771893544e-19,3.9674597314424683e-10,-1.905540444420315e-13,4.61389280507242e-16,-1.2916178156795762e-16,0.2015635062653915,0.13456267364025845,1.2636069610503091e-09,1.4113631112535963e-09,2.9712704558401526e-10,-9.552140111750858e-17,9.440707638040007e-17
0.013250000000000001,1.4438095188163904,0.0,600.0012199116302,0.5937516073726203,-9.272592181791816e-20,2.4005371395662178e-05,4.295362801654528e-13,-1.1258038792545734e-18,5.723540791861351e-10,5.85749344928662e-19,6.893395470224658e-07,4.2808967583846095e-08,0.6638509412482844,-3.1322032087359105e-20,9.994868009748893e-10,-8.781602862333169e-14,1.0129334318308458e-15,8.434352700484085e-18,0.20156190969336402,0.13456240321185906,2.8177370489270803e-09,3.168365936303843e-09,7.682947481163889e-10,-5.588299333268534e-17,1.4901154464732242e-16
0.013312500000000001,1.4439734610322654,0.0,600.0027982178703,0.5936841955013895,1.6886662100918587e-18,3.219101985492811e-05,1.134839156360035e-12,1.2959550573422733e-17,1.2507175043377827e-09,7.975604308321469e-18,1.42577461498638e-06,9.880646842029863e-08,0.6638445501256321,5.853262975084731e-19,2.608343385605241e-09,2.0566164731519392e-13,2.3098628284566007e-15,3.389567947334033e-16,0.20155966081716592,0.1345620537438698,6.477820209123714e-09,7.321576607016936e-09,2.0526021022068087e-09,1.0145850701229501e-16,2.318025238027066e-16
0.013343750000000001,1.444079489761232,0.0,600.0043838287794,0.5936406053936295,-2.833237149542453e-18,3.740630542026026e-05,1.8157156042662048e-12,-3.3929212770335653e-17,1.9043223954937155e-09,-8.19690543181184e-18,2.1028322283557085e-06,1.553797164562375e-07,0.6638402855169386,-1.6930386754591885e-18,4.420110447103403e-09,5.560247832503754e-13,3.601122602358056e-15,2.9876223918267486e-16,0.20155817118437358,0.13456184723843662,1.0167810727744997e-08,1.1522321836598602e-08,3.5259395022039208e-09,-1.7659553772401196e-16,2.416740337644398e-16
